tramite_tipo,tramite_fecha,fecha_inscripcion_inicial,registro_seccional_codigo,automotor_origen,automotor_anio_modelo,automotor_tipo_codigo,automotor_tipo_descripcion,automotor_marca_codigo,automotor_marca_descripcion,automotor_modelo_codigo,automotor_modelo_descripcion,automotor_uso_codigo,automotor_uso_descripcion,propietario_id
INSCRIPCION INICIAL NACIONAL,2024-02-23,2024-02-23,1202,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-06,2024-02-06,1194,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8J,AMAROK TRENDLINE 4X4 2.0L TDI 140 CV,1.0,Privado,4646.0
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,1202,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,6914.0
INSCRIPCION INICIAL NACIONAL,2024-02-19,2024-02-19,1218,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BP,HILUX 4X2 DC DX 2.4 TDI 6 MT,1.0,Privado,2113.0
INSCRIPCION INICIAL NACIONAL,2024-02-20,2024-02-20,1200,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BZ,HILUX 4X2 DC SR 2.4 TDI 6 AT,1.0,Privado,10726.0
INSCRIPCION INICIAL NACIONAL,2024-02-14,2024-02-14,1202,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8T,AMAROK HIGHLINE V6 3.0L 258 CV,1.0,Privado,753.0
INSCRIPCION INICIAL NACIONAL,2024-02-14,2024-02-14,1202,Nacional,2024.0,20,PICK-UP,53,VOLKSWAGEN,8Z,AMAROK TRENDLINE CD TDI MT 4X2,1.0,Privado,7000.0
INSCRIPCION INICIAL NACIONAL,2024-02-22,2024-02-22,1200,Nacional,2024.0,20,PICK-UP,19,FORD,1G,RANGER DC LTD+ 3.0L V6 4X4 10AT D,1.0,Privado,10723.0
INSCRIPCION INICIAL NACIONAL,2024-02-05,2024-02-05,1202,Nacional,2024.0,20,PICK-UP,AC,NISSAN,19,FRONTIER XE 4X2 MT 2.3 D CD,1.0,Privado,
INSCRIPCION INICIAL NACIONAL,2024-02-01,2024-02-01,1219,Nacional,2024.0,20,PICK-UP,68,TOYOTA,BN,HILUX 4X4 CS DX 2.4 TDI 6 MT,1.0,Privado,
